"","adm1","adm2","month","year","conf"
"1","Conakry","Dixinn",1,2018,1060
"2","Conakry","Dixinn",1,2019,391
"3","Conakry","Dixinn",1,2020,896
"4","Conakry","Dixinn",1,2021,1300
"5","Conakry","Dixinn",1,2022,1058
"6","Conakry","Dixinn",2,2018,411
"7","Conakry","Dixinn",2,2019,351
"8","Conakry","Dixinn",2,2020,684
"9","Conakry","Dixinn",2,2021,736
"10","Conakry","Dixinn",2,2022,827
"11","Conakry","Dixinn",3,2018,302
"12","Conakry","Dixinn",3,2019,410
"13","Conakry","Dixinn",3,2020,908
"14","Conakry","Dixinn",3,2021,713
"15","Conakry","Dixinn",3,2022,883
"16","Conakry","Dixinn",4,2018,421
"17","Conakry","Dixinn",4,2019,324
"18","Conakry","Dixinn",4,2020,203
"19","Conakry","Dixinn",4,2021,336
"20","Conakry","Dixinn",4,2022,957
"21","Conakry","Dixinn",5,2018,636
"22","Conakry","Dixinn",5,2019,437
"23","Conakry","Dixinn",5,2020,387
"24","Conakry","Dixinn",5,2021,537
"25","Conakry","Dixinn",5,2022,856
"26","Conakry","Dixinn",6,2018,746
"27","Conakry","Dixinn",6,2019,362
"28","Conakry","Dixinn",6,2020,762
"29","Conakry","Dixinn",6,2021,1094
"30","Conakry","Dixinn",6,2022,1086
"31","Conakry","Dixinn",7,2018,711
"32","Conakry","Dixinn",7,2019,365
"33","Conakry","Dixinn",7,2020,881
"34","Conakry","Dixinn",7,2021,1373
"35","Conakry","Dixinn",7,2022,1254
"36","Conakry","Dixinn",8,2018,467
"37","Conakry","Dixinn",8,2019,1431
"38","Conakry","Dixinn",8,2020,1302
"39","Conakry","Dixinn",8,2021,1922
"40","Conakry","Dixinn",8,2022,1979
"41","Conakry","Dixinn",9,2018,1064
"42","Conakry","Dixinn",9,2019,1673
"43","Conakry","Dixinn",9,2020,1384
"44","Conakry","Dixinn",9,2021,1650
"45","Conakry","Dixinn",9,2022,2136
"46","Conakry","Dixinn",10,2018,1068
"47","Conakry","Dixinn",10,2019,1368
"48","Conakry","Dixinn",10,2020,1047
"49","Conakry","Dixinn",10,2021,1579
"50","Conakry","Dixinn",10,2022,1315
"51","Conakry","Dixinn",11,2018,675
"52","Conakry","Dixinn",11,2019,1330
"53","Conakry","Dixinn",11,2020,1331
"54","Conakry","Dixinn",11,2021,1579
"55","Conakry","Dixinn",11,2022,1265
"56","Conakry","Dixinn",12,2018,413
"57","Conakry","Dixinn",12,2019,989
"58","Conakry","Dixinn",12,2020,900
"59","Conakry","Dixinn",12,2021,1598
"60","Conakry","Dixinn",12,2022,989
"61","Conakry","Kaloum",1,2018,728
"62","Conakry","Kaloum",1,2019,774
"63","Conakry","Kaloum",1,2020,1506
"64","Conakry","Kaloum",1,2021,1843
"65","Conakry","Kaloum",1,2022,2396
"66","Conakry","Kaloum",2,2018,798
"67","Conakry","Kaloum",2,2019,696
"68","Conakry","Kaloum",2,2020,1395
"69","Conakry","Kaloum",2,2021,1764
"70","Conakry","Kaloum",2,2022,1739
"71","Conakry","Kaloum",3,2018,410
"72","Conakry","Kaloum",3,2019,848
"73","Conakry","Kaloum",3,2020,1190
"74","Conakry","Kaloum",3,2021,1454
"75","Conakry","Kaloum",3,2022,1713
"76","Conakry","Kaloum",4,2018,638
"77","Conakry","Kaloum",4,2019,671
"78","Conakry","Kaloum",4,2020,759
"79","Conakry","Kaloum",4,2021,1401
"80","Conakry","Kaloum",4,2022,1570
"81","Conakry","Kaloum",5,2018,679
"82","Conakry","Kaloum",5,2019,802
"83","Conakry","Kaloum",5,2020,722
"84","Conakry","Kaloum",5,2021,2065
"85","Conakry","Kaloum",5,2022,1687
"86","Conakry","Kaloum",6,2018,1163
"87","Conakry","Kaloum",6,2019,902
"88","Conakry","Kaloum",6,2020,1069
"89","Conakry","Kaloum",6,2021,1430
"90","Conakry","Kaloum",6,2022,2136
"91","Conakry","Kaloum",7,2018,2205
"92","Conakry","Kaloum",7,2019,1396
"93","Conakry","Kaloum",7,2020,1615
"94","Conakry","Kaloum",7,2021,2232
"95","Conakry","Kaloum",7,2022,2790
"96","Conakry","Kaloum",8,2018,2166
"97","Conakry","Kaloum",8,2019,2619
"98","Conakry","Kaloum",8,2020,2216
"99","Conakry","Kaloum",8,2021,3447
"100","Conakry","Kaloum",8,2022,3958
"101","Conakry","Kaloum",9,2018,2193
"102","Conakry","Kaloum",9,2019,2762
"103","Conakry","Kaloum",9,2020,2249
"104","Conakry","Kaloum",9,2021,3291
"105","Conakry","Kaloum",9,2022,3648
"106","Conakry","Kaloum",10,2018,1240
"107","Conakry","Kaloum",10,2019,2346
"108","Conakry","Kaloum",10,2020,2619
"109","Conakry","Kaloum",10,2021,2624
"110","Conakry","Kaloum",10,2022,3462
"111","Conakry","Kaloum",11,2018,1439
"112","Conakry","Kaloum",11,2019,2513
"113","Conakry","Kaloum",11,2020,2315
"114","Conakry","Kaloum",11,2021,2681
"115","Conakry","Kaloum",11,2022,1446
"116","Conakry","Kaloum",12,2018,1357
"117","Conakry","Kaloum",12,2019,1876
"118","Conakry","Kaloum",12,2020,1878
"119","Conakry","Kaloum",12,2021,2690
"120","Conakry","Kaloum",12,2022,3653
"121","Conakry","Matam",1,2018,254
"122","Conakry","Matam",1,2019,203
"123","Conakry","Matam",1,2020,565
"124","Conakry","Matam",1,2021,768
"125","Conakry","Matam",1,2022,739
"126","Conakry","Matam",2,2018,132
"127","Conakry","Matam",2,2019,161
"128","Conakry","Matam",2,2020,401
"129","Conakry","Matam",2,2021,601
"130","Conakry","Matam",2,2022,607
"131","Conakry","Matam",3,2018,140
"132","Conakry","Matam",3,2019,155
"133","Conakry","Matam",3,2020,344
"134","Conakry","Matam",3,2021,476
"135","Conakry","Matam",3,2022,763
"136","Conakry","Matam",4,2018,149
"137","Conakry","Matam",4,2019,121
"138","Conakry","Matam",4,2020,419
