REGION,PREFECTURE,SOUS-PREFECTURE,NOMS_STRUCTURE_1,TYPES_STRU,LAT_S,LONG_S,ALT_S
Conakry 2,Conakry       21,Ratoma   5,Flamboyant,CMC,9.62090,-13.60001,62
Conakry 2,Conakry       21,Ratoma   5,Simbaya,CM,9.61524,-13.61201,102
Conakry 2,Conakry       21,Ratoma   5,Simbaya Gare,CSU,9.61537,-13.61375,100
Conakry 2,Conakry       21,Ratoma   5,Centre Mere -Enfant,CM,9.60230,-13.64042,67
Conakry 2,Conakry       21,Ratoma   5,Yattaya,Asso CS,9.67067,-10.58892,24
Conakry 2,Conakry       21,Ratoma   5,Yattaya,Asso CS,9.65670,-13.57472,93
Conakry 2,Conakry       21,Ratoma   5,Cab.Med Chirurg.,Cab. Med. Prv ,9.65397,-13.58125,93
Conakry 2,Conakry       21,Ratoma   5,Cabinet Medicalxx,Cab. Med. Prv ,9.66534,-13.59245,18
Conakry 2,Conakry       21,Ratoma   5,Clinique Med. Eau Vive,Clinique,9.66219,-13.59172,32
Conakry 2,Conakry       21,Ratoma   5,Polyclinique Dogomet, Polyclinique,9.60768,-13.61868,86
Conakry 2,Conakry       21,Ratoma   5,Sapromeg Centre Med.,CM,9.57815,-13.63596,79
Conakry 2,Conakry       21,Ratoma   5,Yougoutoh CMS,CM,9.57178,-13.64179,74
Conakry 2,Conakry       21,Ratoma   5,Balkan Centre Med.,CM,9.56945,-13.64542,65
Conakry 2,Conakry       21,Ratoma   5,JinRiamo,Cabinet Soins,9.58667,-13.63266,120
Conakry 2,Conakry       21,Ratoma   5,Bambeto Carad,CSP,9.58813,-13.63453,105
Conakry 2,Conakry       21,Ratoma   5,La Grace Cab. Med.,Cab. Med. Prv ,9.65197,-13.60242,18
Conakry 2,Conakry       21,Ratoma   5,Centre Sante xx,CS,9.64775,-13.58715,78
Conakry 2,Conakry       21,Ratoma   5,Clinique Med. Social,CMS,9.66085,-13.59587,30
Conakry 2,Conakry       21,Ratoma   5,Zouavhe Yakpa,Clinique ,9.64914,-13.58447,104
